codigo;escola;longitude;latitude
13027182;EE Balbina Mestrinho;-60,003059;-3,1276563
13027336;EE Euclydes da Cunha;-60,00673187;-3,131362653
13027930;EE Ruy Araujo;-60,006586;-3,1277331
13030922;EE Senador Cunha Melo;-60,00004857;-3,129492504
13057871;EE Manoel Marcal de Araujo;-60,002215;-3,1234738
13031147;EE Prof. Antenor Sarmento;-60,02280174;-3,127509519
13027344;EE Farias Britto;-60,012254;-3,1301204
13027549;EE Luizinha Nascimento;-60,01537;-3,1229826
13030760;EE Placido Serrano;-60,015085;-3,1207236
13030868;EE Santa Luzia;-60,01471923;-3,128133139
13026577;Anexo do Colegio Militar da Policia Militar do Amazonas I;-60,00922391;-3,121734094
13031023;EETI Antonio Teles de Souza;-60,028864;-3,1190315
13030205;EE Arthur Araujo;-60,023438;-3,114014
13030388;EE Herbert Palhano;-60,021708;-3,1140789
13030663;EETI Nossa Senhora Das Gracas;-60,021563;-3,1103342
13030973;EETI Zulmira Bittencourt;-60,033329;-3,1122735
13030604;EETI Governador Melo Povoas;-60,037506;-3,1178457
13083708;Ceja Profa. Jacira Caboclo;-60,02713;-3,12046
13096605;Ceja Prof. Paulo Freire;-60,026418;-3,1177066
13027042;EE 1º de Maio;-60,011631;-3,1189783
13026577;Colegio Militar da Policia Militar do Amazonas;-60,000416;-3,1189881
13027131;EE Angelo Ramazzotti;-60,012622;-3,110644
13030345;EE Getulio Vargas;-60,007282;-3,1161288
13030370;EETI Helena Araujo;-60,007637;-3,1122555
13030434;EE Izabel Barroncas;-60,003546;-3,1140918
13027573;EE Marcio Nery;-60,006893;-3,1162785
13030752;EE Padre Agostinho Martin;-60,003047;-3,1124164
13030558;EE Major Silva Coutinho;-59,9935244;-3,119768426
13030531;EE Luis de Camoes;-59,983656;-3,1153804
13028057;EE Tiradentes;-59,997499;-3,1166763
13030264;EETI Conego Azevedo;-60,030893;-3,1303264
13030442;EE Itacyara Nogueira Pinho;-60,061067;-3,0732132
13030191;EE Prof. Aristoteles Comte de Alencar;-59,98084075;-3,093402155
13031120;EE Nossa Senhora Aparecida;-60,0300442;-3,129032087
13030396;EETI Hermenegildo de Campos;-60,029568;-3,1206122
13030779;EE Princeza Isabel;-60,02454;-3,1276067
13030299;EE Profa. Eunice Serrano Telles de Souza;-60,026319;-3,1286072
13030841;EETI Ribeiro da Cunha;-60,023877;-3,1235579
13031899;Instituto de Educacao do Amazonas;-60,02416;-3,127732
13026550;Colegio Brasileiro Pedro Silvestre;-60,019987;-3,129815
13030213;EE Barao do Rio Branco;-60,018856;-3,1314507
13030310;EE Frei Silvio Vagheggi;-60,02288344;-3,127113432
13030990;EE Antonio Bittencourt;-60,03697;-3,1231345
13031503;EE Joanna Rodrigues Vieira;-60,037036;-3,1226276
13027646;EETI Marques de Santa Cruz;-60,037796;-3,1282043
13030671;EE Nª Sª da Gloria;-60,0366445;-3,1217903
13030701;EE Olavo Bilac;-60,035738;-3,1274637
13030884;EE Sao Luiz de Gonzaga;-60,037831;-3,1272192
13030230;EE Bom Pastor;-59,98969473;-3,133824983
13030132;EE Adalberto Vale;-60,000274;-3,137065305
13031007;EE Antonio de Lucena Bittencourt;-59,99923164;-3,13657848
13030272;EE Dorval Porto;-59,99155163;-3,132397379
13030655;EE Nossa Senhora da Divina Providencia;-59,996174;-3,1354228
13030795;EE Prof. Nelson Alves Ferreira;-59,99469208;-3,131224003
13029991;EE Milburges Araujo;-59,995621;-3,1232141
13026470;Colegio Amazonense Dom Pedro II;-60,021363;-3,1344324
13027174;EE Augusto Carneiro dos Santos;-60,015288;-3,1369394
13098497;Anexo CETI Gilberto Mestrinho de Medeiros Raposo;-60,00348531;-3,123815812
13031171;Anexo Rosina Ferreira da Silva;-60,04408616;-3,072944639
13030728;EE Osmar Pedrosa;-59,954339;-3,0355482
13027271;EE Diofanto Vieira Monteiro;-60,015304;-3,1369714
13030507;EE Leopoldo Neves;-60,005723;-3,1370222
13077430;EE Prof. Francisco Das Chagas de Souza Albuquerque;-60,019311;-3,1319169
13066838;EETI Madre Tereza de Calcuta;-60,00194749;-3,135897959
13098497;CETI Gilberto Mestrinho de Medeiros Raposo;-60,009436;-3,1370391
13030981;EE Amelia Bittencourt Cardinale;-60,06123446;-3,104478897
13030221;EE Benjamin Magalhaes Brandao;-60,062165;-3,0990514
13030280;EE Duque de Caxias;-60,050017;-3,1073924
